Ligand	1_Energy	Mass
ZINC77154168	-10,9	386,35
ZINC05252583	-10,9	383,302
ZINC13985188	-10,9	441,177
ZINC11347931	-10,9	418,347
ZINC30889983	-10,9	378,283
ZINC89866583	-10,9	440,375
ZINC02929151	-10,9	461,418
ZINC05176228	-10,9	393,27
ZINC33068247	-10,9	409,719
ZINC10126639	-10,9	431,326
ZINC10372513	-10,9	366,295
ZINC03413440	-10,9	439,794
ZINC14464651	-10,9	398,336
ZINC22758785	-10,9	431,366
ZINC03508116	-10,9	351,277
ZINC33068258	-10,9	405,736
ZINC64972578	-10,9	414,36
ZINC07003886	-10,9	364,248
ZINC12075166	-10,9	348,276
ZINC12853075	-10,9	458,266
ZINC08832337	-10,8	424,308
ZINC03361229	-10,8	349,238
ZINC56918963	-10,8	465,406
ZINC89866558	-10,8	419,312
ZINC74194038	-10,8	330,259
ZINC09305041	-10,8	424,305
ZINC20580783	-10,8	409,364
ZINC00730094	-10,8	382,294
ZINC16263797	-10,8	452,793
ZINC14900850	-10,8	441,349
ZINC92166164	-10,8	359,121
ZINC16263799	-10,8	452,793
ZINC16263800	-10,8	452,793
ZINC07983334	-10,8	349,262
ZINC32932484	-10,8	446,382
ZINC88338007	-10,8	316,235
ZINC63778157	-10,8	418,755
ZINC09749523	-10,8	440,375
ZINC00885989	-10,8	383,282
ZINC09703473	-10,8	407,301
ZINC49521027	-10,8	445,353
ZINC63272887	-10,8	387,741
ZINC89873232	-10,8	414,339
ZINC32479111	-10,8	346,258
ZINC08630534	-10,8	427,783
ZINC09512852	-10,8	413,355
ZINC02769622	-10,8	477,367
ZINC20580816	-10,8	409,364
ZINC09639080	-10,8	415,774
ZINC09211074	-10,8	405,311
ZINC77906137	-10,8	400,289
ZINC02341476	-10,8	400,68
ZINC09672702	-10,8	428,345
ZINC13150023	-10,8	413,254
ZINC63617101	-10,8	371,314
ZINC36682281	-10,8	327,258
ZINC03302195	-10,8	388,238
ZINC90912760	-10,8	311,282
ZINC90912761	-10,8	311,282
ZINC15670563	-10,8	396,299
ZINC10186626	-10,8	435,381
ZINC08528719	-10,8	395,29
ZINC09318330	-10,8	458,344
ZINC20580846	-10,8	432,805
ZINC72092554	-10,8	427,423
ZINC06947917	-10,8	389,266
ZINC02754278	-10,8	367,303
ZINC14245200	-10,7	389,278
ZINC56918962	-10,7	475,424
ZINC36682221	-10,7	373,264
ZINC33282553	-10,7	397,284
ZINC12788504	-10,7	462,404
ZINC10874136	-10,7	373,26
ZINC27533553	-10,7	421,308
ZINC03361195	-10,7	423,342
ZINC06587175	-10,7	392,717
ZINC46124136	-10,7	468,86
ZINC06909626	-10,7	329,277
ZINC15631136	-10,7	394,323
ZINC31305337	-10,7	447,365
ZINC09632730	-10,7	453,37
ZINC09632732	-10,7	464,801
ZINC49413962	-10,7	460,366
ZINC64929162	-10,7	373,309
ZINC13992840	-10,7	397,306
ZINC09892145	-10,7	440,375
ZINC21349082	-10,7	463,816
ZINC36646386	-10,7	365,284
ZINC67537959	-10,7	370,303
ZINC08768631	-10,7	411,356
ZINC21707622	-10,7	346,256
ZINC23478229	-10,7	378,286
ZINC03037862	-10,7	461,349
ZINC90912731	-10,7	339,292
ZINC21323858	-10,7	438,408
ZINC32479113	-10,7	346,258
ZINC38932838	-10,7	431,315
ZINC67523095	-10,7	371,268
ZINC21498204	-10,7	435,311
ZINC49521028	-10,7	433,342
ZINC02768678	-10,7	456,348
ZINC63314763	-10,7	446,31
ZINC21707628	-10,7	346,256
ZINC56919002	-10,7	463,413
ZINC44314185	-10,7	397,318
ZINC34870836	-10,7	443,358
ZINC09190716	-10,7	428,318
ZINC39437334	-10,7	364,302
ZINC12636326	-10,7	376,714
ZINC34711107	-10,7	439,313
ZINC19574509	-10,7	398,292
ZINC17043125	-10,7	452,366
ZINC11663054	-10,7	367,282
ZINC02848510	-10,7	351,28
ZINC58182758	-10,7	341,265
ZINC06034637	-10,7	443,378
ZINC72002699	-10,7	358,275
ZINC14245256	-10,7	430,336
ZINC09514422	-10,7	417,361
ZINC39875865	-10,7	445,261
ZINC05959826	-10,7	377,295
ZINC30947004	-10,7	353,273
ZINC90912758	-10,7	311,282
ZINC94019627	-10,7	362,306
ZINC09639097	-10,7	408,786
ZINC01055413	-10,7	439,234
ZINC33262477	-10,7	404,322
ZINC88338047	-10,7	318,23
ZINC85644517	-10,7	461,755
ZINC13001113	-10,7	424,756
ZINC15670565	-10,7	396,299
ZINC88338052	-10,7	318,227
ZINC38320851	-10,7	398,267
ZINC13649045	-10,7	452,386
ZINC09632774	-10,7	405,308
ZINC22010816	-10,7	384,221
ZINC38937894	-10,7	359,28
ZINC35397999	-10,7	388,324
ZINC89954440	-10,6	343,257
ZINC11997600	-10,6	415,368
ZINC13602697	-10,6	394,367
ZINC35592814	-10,6	379,312
ZINC71840324	-10,6	425,265
ZINC09639046	-10,6	401,344
