Ligand	1_Energy	Mass
ZINC66818447	-9,3	322,226
ZINC75229846	-9,3	343,281
ZINC84484091	-9,3	294,224
ZINC90652594	-9,3	336,241
ZINC93890328	-9,3	335,238
ZINC41015775	-9,3	466,302
ZINC22332181	-9,3	315,21
ZINC15134795	-9,3	313,254
ZINC00172298	-9,3	300,299
ZINC27232476	-9,3	352,291
ZINC32819949	-9,3	427,379
ZINC14279333	-9,3	455,345
ZINC47932396	-9,3	378,33
ZINC40196061	-9,3	351,28
ZINC79335731	-9,3	320,243
ZINC57787085	-9,3	352,286
ZINC09460377	-9,3	383,279
ZINC01130914	-9,3	403,728
ZINC09311639	-9,3	421,347
ZINC95420719	-9,3	323,311
ZINC57352278	-9,3	252,211
ZINC19578483	-9,3	349,245
ZINC39006983	-9,3	423,795
ZINC02729944	-9,3	314,259
ZINC12664052	-9,3	425,366
ZINC38924640	-9,3	391,323
ZINC39892024	-9,3	380,146
ZINC38485246	-9,3	437,76
ZINC03101376	-9,3	339,697
ZINC20610880	-9,3	434,326
ZINC01383628	-9,3	399,345
ZINC33287417	-9,3	396,296
ZINC68740731	-9,3	357,278
ZINC71095509	-9,3	357,304
ZINC22440622	-9,3	396,314
ZINC78728208	-9,3	324,235
ZINC72356220	-9,3	367,278
ZINC07653597	-9,3	358,249
ZINC45589415	-9,3	331,249
ZINC89335774	-9,3	320,243
ZINC91596092	-9,3	321,298
ZINC16401659	-9,3	463,183
ZINC10337548	-9,3	407,389
ZINC95420720	-9,3	323,311
ZINC18179415	-9,3	350,32
ZINC43231602	-9,3	322,202
ZINC39944067	-9,3	356,344
ZINC09785135	-9,3	386,777
ZINC95512767	-9,3	348,254
ZINC48234730	-9,3	406,304
ZINC21659112	-9,3	460,34
ZINC56365453	-9,3	377,722
ZINC04502742	-9,3	383,459
ZINC90370838	-9,3	339,242
ZINC58341134	-9,3	340,28
ZINC19752987	-9,3	412,323
ZINC61089981	-9,3	370,758
ZINC77972655	-9,3	367,279
ZINC73682286	-9,3	425,334
ZINC04672924	-9,3	362,344
ZINC89257260	-9,3	351,253
ZINC08381440	-9,3	386,281
ZINC09399187	-9,3	409,315
ZINC20933126	-9,3	414,764
ZINC02876556	-9,3	334,72
ZINC14260775	-9,3	337,701
ZINC17822872	-9,3	349,284
ZINC04644311	-9,3	388,646
ZINC66632081	-9,3	356,707
ZINC23385747	-9,3	291,222
ZINC51318144	-9,3	380,706
ZINC73950105	-9,3	321,274
ZINC72601436	-9,3	345,272
ZINC74142831	-9,3	312,224
ZINC56877645	-9,3	330,262
ZINC72002643	-9,2	361,724
ZINC26967320	-9,2	296,221
ZINC08644971	-9,2	332,25
ZINC80974969	-9,2	318,223
ZINC74393028	-9,2	350,253
ZINC32020389	-9,2	342,273
ZINC81348353	-9,2	351,328
ZINC09305035	-9,2	458,44
ZINC09858511	-9,2	380,729
ZINC13648996	-9,2	393,315
ZINC04003545	-9,2	374,336
ZINC32672758	-9,2	306,176
ZINC46078461	-9,2	365,284
ZINC58167929	-9,2	403,315
ZINC66155357	-9,2	354,281
ZINC72728457	-9,2	234,193
ZINC02360595	-9,2	452,342
ZINC45248906	-9,2	329,722
ZINC07653530	-9,2	340,659
ZINC08291679	-9,2	385,745
ZINC47189795	-9,2	319,235
ZINC56877593	-9,2	325,265
ZINC91218700	-9,2	333,265
ZINC02735662	-9,2	453,37
ZINC65350016	-9,2	254,604
ZINC12670189	-9,2	328,692
ZINC06565492	-9,2	364,323
ZINC09829521	-9,2	434,306
ZINC14550268	-9,2	386,347
ZINC14427932	-9,2	392,309
ZINC09833354	-9,2	469,848
ZINC28291187	-9,2	369,364
ZINC13131733	-9,2	369,136
ZINC34710313	-9,2	364,299
ZINC39460392	-9,2	414,385
ZINC02701846	-9,2	374,315
ZINC18201174	-9,2	357,284
ZINC03179249	-9,2	364,703
ZINC06549671	-9,2	357,331
ZINC41430981	-9,2	330,208
ZINC03505807	-9,2	343,253
ZINC72302250	-9,2	300,213
ZINC26510728	-9,2	420,291
ZINC92221975	-9,2	376,283
ZINC77117027	-9,2	359,147
ZINC27529415	-9,2	328,243
ZINC09126707	-9,2	429,375
ZINC76998853	-9,2	300,232
ZINC06652963	-9,2	377,316
ZINC15070157	-9,2	409,312
ZINC13117046	-9,2	474,844
ZINC21002968	-9,2	330,259
ZINC38587647	-9,2	346,328
ZINC21731682	-9,2	409,808
ZINC40033976	-9,2	355,268
ZINC40235541	-9,2	402,304
ZINC55624102	-9,2	367,368
ZINC26511076	-9,2	272,179
ZINC72713667	-9,2	310,274
ZINC47581951	-9,2	371,268
ZINC15306315	-9,2	389,327
ZINC88421268	-9,2	308,231
ZINC89858055	-9,2	325,236
ZINC94160052	-9,2	297,206
ZINC95371763	-9,2	296,198
ZINC95413189	-9,2	319,203
ZINC36389640	-9,2	408,379
ZINC15867736	-9,2	377,298
ZINC05151239	-9,2	359,713
ZINC41791780	-9,2	336,261
ZINC38924591	-9,2	407,322
ZINC68370680	-9,2	341,239
ZINC07148600	-9,2	386,191
ZINC19564241	-9,2	374,271
ZINC76098993	-9,2	336,31
ZINC78793026	-9,2	238,182
ZINC74374957	-9,2	350,268
ZINC01366684	-9,2	347,313
ZINC79640092	-9,2	318,251
ZINC89641894	-9,2	310,213
ZINC36357252	-9,2	348,257
ZINC95507846	-9,2	339,269
ZINC10587457	-9,2	406,334
ZINC03896065	-9,2	310,292
ZINC39867009	-9,2	362,306
ZINC47711495	-9,2	337,251
ZINC09670670	-9,2	414,36
ZINC67420890	-9,2	368,287
ZINC64705021	-9,2	329,274
ZINC69128340	-9,2	341,254
ZINC72009912	-9,2	348,277
ZINC78334863	-9,2	319,235
ZINC89873216	-9,2	266,218
ZINC03259029	-9,2	333,242
ZINC08378325	-9,2	382,215
ZINC89620618	-9,2	348,255
ZINC91591924	-9,2	334,25
ZINC89954441	-9,2	345,253
ZINC12986227	-9,2	312,239
ZINC73249393	-9,2	333,262
ZINC58214912	-9,2	332,254
ZINC13985147	-9,2	384,134
ZINC00090935	-9,2	314,259
ZINC64951642	-9,2	307,227
ZINC38772158	-9,2	438,243
ZINC72009913	-9,2	403,357
ZINC12859092	-9,2	403,334
ZINC65076972	-9,2	334,227
ZINC12438603	-9,2	397,292
ZINC69651303	-9,2	365,287
ZINC36357253	-9,2	423,3
ZINC70900604	-9,2	347,272
ZINC31625729	-9,2	326,681
ZINC94019575	-9,2	364,299
ZINC81250511	-9,2	304,241
ZINC14013689	-9,2	430,359
ZINC03509906	-9,2	378,71
ZINC11788639	-9,2	362,711
ZINC20028646	-9,2	375,223
ZINC09711805	-9,2	449,339
ZINC12886864	-9,2	323,242
ZINC07235827	-9,2	340,297
ZINC12977979	-9,2	401,766
ZINC01021579	-9,2	271,234
ZINC66808841	-9,2	375,32
ZINC40390633	-9,2	444,192
ZINC65032591	-9,2	434,392
ZINC07191697	-9,2	362,304
ZINC72002650	-9,2	382,295
ZINC80663853	-9,2	319,235
ZINC85280869	-9,2	342,236
ZINC87255195	-9,2	345,218
ZINC87405146	-9,2	342,286
ZINC89507294	-9,2	298,191
ZINC94367050	-9,2	251,2
ZINC94031626	-9,2	357,261
ZINC12886865	-9,2	338,281
ZINC36357255	-9,2	353,297
ZINC17207048	-9,2	323,291
ZINC36631319	-9,2	379,288
ZINC36788242	-9,2	386,326
ZINC05639959	-9,2	329,251
ZINC51300909	-9,2	316,228
ZINC29966829	-9,2	332,231
ZINC74162214	-9,2	322,239
ZINC19133486	-9,2	353,276
ZINC79309058	-9,2	426,304
ZINC91567634	-9,2	248,22
ZINC92978275	-9,2	342,276
ZINC05520897	-9,2	333,711
ZINC95350908	-9,2	352,254
ZINC10390931	-9,2	333,239
ZINC12873104	-9,2	306,203
ZINC15594601	-9,2	368,304
ZINC38739327	-9,2	404,386
ZINC44171092	-9,2	392,157
ZINC20617398	-9,2	368,258
ZINC09088357	-9,2	396,365
ZINC40359524	-9,2	352,692
ZINC40390635	-9,2	420,75
ZINC20691495	-9,2	405,351
ZINC40267153	-9,2	357,259
ZINC38904582	-9,2	420,321
ZINC64705024	-9,2	269,196
ZINC66808843	-9,2	375,32
ZINC02738801	-9,2	441,386
ZINC72308977	-9,2	395,33
ZINC18209292	-9,2	422,207
ZINC73147410	-9,2	340,25
ZINC78091003	-9,2	313,224
ZINC69651305	-9,2	347,249
ZINC07769497	-9,2	382,291
ZINC88265814	-9,2	323,219
ZINC32475329	-9,2	425,199
ZINC91752333	-9,2	347,237
ZINC09593736	-9,2	280,222
ZINC94031628	-9,2	357,261
ZINC14839480	-9,2	330,259
ZINC15594602	-9,2	368,304
ZINC27022075	-9,2	398,337
ZINC00426924	-9,2	298,237
ZINC03086020	-9,2	308,626
ZINC57511124	-9,2	392,329
ZINC49420739	-9,2	407,815
ZINC49481893	-9,2	317,243
ZINC04513463	-9,2	343,257
ZINC63845701	-9,2	302,231
ZINC66088389	-9,2	318,251
ZINC57401607	-9,2	441,757
ZINC48680148	-9,2	352,261
ZINC65759952	-9,2	343,279
ZINC15306311	-9,2	389,327
ZINC70019822	-9,2	318,231
ZINC73110012	-9,2	320,246
ZINC10863685	-9,2	439,191
ZINC89718069	-9,2	325,246
ZINC92930145	-9,2	330,262
ZINC23417252	-9,2	329,272
ZINC93065481	-9,2	348,321
ZINC33052736	-9,2	380,265
ZINC22276760	-9,2	342,276
ZINC05688763	-9,2	335,708
ZINC40390637	-9,2	420,75
ZINC78735402	-9,2	316,255
ZINC65061575	-9,2	459,216
ZINC25474196	-9,2	409,243
ZINC64705026	-9,2	269,196
ZINC38485214	-9,2	469,355
ZINC71996460	-9,2	364,255
ZINC73012326	-9,2	314,259
ZINC77180624	-9,2	319,256
ZINC74671903	-9,2	323,227
ZINC03526199	-9,2	322,639
ZINC79558621	-9,2	344,265
ZINC81445870	-9,2	327,258
ZINC60358804	-9,2	425,342
ZINC91444980	-9,2	342,273
ZINC09168260	-9,2	411,289
ZINC89125570	-9,2	330,238
ZINC09625996	-9,2	374,766
ZINC93970712	-9,2	349,257
ZINC19688787	-9,2	391,328
ZINC15867744	-9,2	401,746
ZINC14629044	-9,2	396,342
ZINC01394579	-9,2	330,259
ZINC32960071	-9,2	409,297
ZINC89873223	-9,2	327,278
ZINC22975802	-9,2	337,246
ZINC24354857	-9,2	440,277
ZINC20906232	-9,2	375,322
ZINC33028660	-9,2	405,252
ZINC49481895	-9,2	324,23
ZINC59331978	-9,2	387,196
ZINC05780931	-9,2	330,208
ZINC92074695	-9,2	332,225
ZINC68941632	-9,2	369,293
ZINC63272865	-9,2	396,274
ZINC03280785	-9,2	390,245
ZINC19371680	-9,2	373,282
ZINC75849816	-9,2	316,276
ZINC87141523	-9,2	331,282
ZINC89125571	-9,2	330,238
ZINC09050899	-9,2	403,288
ZINC89620625	-9,2	345,272
ZINC04858335	-9,2	298,212
ZINC43825756	-9,2	328,266
ZINC09385031	-9,2	359,304
ZINC09586140	-9,2	427,158
ZINC04842611	-9,2	367,279
ZINC02792165	-9,2	433,353
ZINC49429878	-9,2	315,247
ZINC44050276	-9,2	359,253
ZINC62166559	-9,2	330,306
ZINC46930552	-9,2	366,296
ZINC46976859	-9,2	335,258
ZINC68370685	-9,2	323,247
ZINC75586206	-9,2	340,257
ZINC15899964	-9,2	311,231
ZINC84722603	-9,2	323,242
ZINC41077879	-9,2	426,369
ZINC08583640	-9,2	435,351
ZINC91954031	-9,2	357,711
ZINC90512457	-9,2	347,269
ZINC14200624	-9,2	339,242
ZINC11695486	-9,2	411,172
ZINC27220456	-9,2	288,244
ZINC07325519	-9,2	321,268
ZINC01066382	-9,2	346,099
ZINC18042904	-9,2	443,337
ZINC04670334	-9,2	356,207
ZINC21714045	-9,2	438,854
ZINC40894633	-9,2	403,263
ZINC04374807	-9,2	385,342
ZINC56219036	-9,2	364,347
ZINC69456851	-9,2	322,239
ZINC15377652	-9,2	316,255
ZINC73147415	-9,2	340,25
ZINC71863075	-9,2	420,34
ZINC76279726	-9,2	325,284
ZINC00659172	-9,2	348,276
ZINC78329993	-9,2	289,229
ZINC07109256	-9,2	385,36
ZINC89507299	-9,2	336,219
ZINC09416445	-9,2	422,723
ZINC91918515	-9,2	372,276
ZINC11695487	-9,2	423,183
ZINC14119072	-9,2	411,15
ZINC00430397	-9,2	314,236
ZINC25709149	-9,2	388,27
ZINC23478211	-9,2	372,319
ZINC14245214	-9,2	399,348
ZINC13640106	-9,2	420,34
ZINC00556274	-9,2	282,194
ZINC38291618	-9,2	299,199
ZINC40159451	-9,2	387,131
ZINC45217069	-9,2	316,255
ZINC40390641	-9,2	397,309
ZINC20939554	-9,2	459,403
ZINC56913930	-9,2	395,72
ZINC66632019	-9,2	320,243
ZINC90224581	-9,2	320,243
ZINC09614056	-9,2	385,298
ZINC14255058	-9,2	409,361
ZINC07321628	-9,2	364,303
ZINC80800800	-9,2	341,251
ZINC21841982	-9,2	401,364
ZINC69323662	-9,2	334,247
ZINC35375430	-9,2	433,29
ZINC90044894	-9,2	344,287
ZINC03229005	-9,2	437,797
ZINC95413201	-9,2	359,127
ZINC17075668	-9,2	355,679
ZINC20754363	-9,2	403,352
ZINC20906236	-9,2	358,32
ZINC20546841	-9,2	341,268
ZINC15990717	-9,2	324,682
ZINC02437994	-9,2	336,268
ZINC49026381	-9,2	372,242
ZINC00174573	-9,2	307,227
ZINC38752262	-9,2	319,658
ZINC08634485	-9,2	379,29
ZINC89998464	-9,2	318,251
ZINC03179286	-9,2	357,299
ZINC58226415	-9,2	353,276
ZINC66910286	-9,2	365,308
ZINC72033456	-9,2	329,655
ZINC72392884	-9,2	342,273
ZINC77154145	-9,2	391,749
ZINC51318084	-9,2	336,696
ZINC10090827	-9,2	280,222
ZINC14710071	-9,2	347,313
ZINC21039709	-9,2	365,334
ZINC39006937	-9,2	438,381
ZINC12223949	-9,2	414,288
ZINC09385034	-9,2	356,274
ZINC59212219	-9,2	408,783
ZINC72033457	-9,2	302,648
ZINC67345447	-9,2	332,254
ZINC13736014	-9,2	416,739
ZINC12812972	-9,2	402,346
ZINC89954453	-9,2	343,26
ZINC90584477	-9,2	311,634
ZINC09112973	-9,2	338,26
ZINC19371684	-9,2	373,282
ZINC93613727	-9,2	339,205
ZINC12188132	-9,2	364,279
ZINC17075671	-9,2	349,666
ZINC22735395	-9,2	280,223
ZINC14474635	-9,2	375,344
ZINC18201198	-9,2	352,261
ZINC38516558	-9,2	363,336
ZINC17903810	-9,2	275,222
ZINC45992493	-9,2	453,7
ZINC05069161	-9,2	395,357
ZINC71832705	-9,2	350,34
ZINC65809604	-9,2	362,229
ZINC06779998	-9,2	389,309
ZINC65150992	-9,2	448,776
ZINC77700549	-9,2	304,648
ZINC75473428	-9,2	349,284
ZINC84512598	-9,2	282,197
ZINC08322793	-9,2	358,741
ZINC09050904	-9,2	403,288
ZINC90143278	-9,2	318,187
ZINC49481902	-9,2	324,23
ZINC07239176	-9,2	295,232
ZINC12466817	-9,2	363,315
ZINC04121340	-9,2	347,286
ZINC22366104	-9,2	359,257
ZINC88407333	-9,2	351,253
ZINC09318288	-9,2	338,306
ZINC91187663	-9,2	310,228
ZINC04391966	-9,2	328,286
ZINC40390645	-9,2	444,192
ZINC00686665	-9,2	382,185
ZINC00754405	-9,2	384,331
ZINC54285513	-9,2	343,257
ZINC01380571	-9,2	462,405
ZINC59019890	-9,2	355,316
ZINC32425290	-9,2	410,166
ZINC41647863	-9,2	395,285
ZINC22332151	-9,2	330,235
ZINC91139964	-9,2	289,202
ZINC11695492	-9,2	395,172
ZINC12664038	-9,2	425,366
ZINC09530175	-9,2	423,215
ZINC23382103	-9,2	417,319
ZINC89270050	-9,2	329,251
ZINC44012915	-9,2	282,262
ZINC09578422	-9,2	413,355
ZINC58226417	-9,2	359,301
ZINC59046870	-9,2	313,294
ZINC06260189	-9,2	368,304
ZINC70872875	-9,2	434,328
ZINC72308988	-9,2	424,291
ZINC75274257	-9,2	295,213
ZINC09187631	-9,2	432,804
ZINC81413300	-9,2	344,265
ZINC52902212	-9,2	327,228
ZINC53260197	-9,2	358,267
ZINC02517777	-9,2	288,612
ZINC89257229	-9,2	322,255
ZINC90093956	-9,2	323,219
ZINC15857615	-9,2	443,377
ZINC76840460	-9,2	324,09
ZINC12581702	-9,2	440,378
ZINC11974180	-9,2	406,741
ZINC89437359	-9,2	296,218
ZINC23136571	-9,2	375,334
ZINC20754367	-9,2	414,163
ZINC21802669	-9,2	447,719
ZINC45992537	-9,2	385,241
ZINC56918982	-9,2	321,295
ZINC63791129	-9,2	286,249
ZINC74125080	-9,2	343,282
ZINC76099010	-9,2	348,257
ZINC06786813	-9,2	365,305
ZINC81942744	-9,2	323,244
ZINC08981238	-9,2	321,228
ZINC93092342	-9,2	308,238
ZINC37383812	-9,2	363,288
ZINC40549274	-9,2	467,828
ZINC93532623	-9,2	331,149
ZINC95371781	-9,2	319,242
ZINC94771393	-9,2	265,23
ZINC09422439	-9,2	437,33
ZINC12515758	-9,2	330,278
ZINC32960081	-9,2	381,286
ZINC92533693	-9,2	342,27
ZINC52217881	-9,2	317,214
ZINC69739049	-9,2	320,246
ZINC59383501	-9,2	272,196
ZINC19371689	-9,2	373,282
ZINC67420898	-9,2	372,276
ZINC73563845	-9,2	331,21
ZINC63991373	-9,2	468,388
ZINC76395493	-9,2	274,645
ZINC75468208	-9,2	337,295
ZINC10123581	-9,2	344,233
ZINC89680985	-9,2	296,189
ZINC90723355	-9,2	312,263
ZINC90733820	-9,2	407,319
ZINC13098831	-9,2	424,78
ZINC13021541	-9,2	381,264
ZINC20925908	-9,2	299,244
ZINC34839856	-9,2	303,236
ZINC02517778	-9,2	307,611
ZINC35577483	-9,2	283,199
ZINC02628779	-9,2	359,292
ZINC87461244	-9,2	342,276
ZINC91626232	-9,2	354,264
ZINC56904690	-9,2	423,731
ZINC60626713	-9,2	336,246
ZINC95460767	-9,2	317,263
ZINC43278992	-9,2	322,236
ZINC41647877	-9,2	404,297
ZINC77952421	-9,2	359,324
ZINC79678662	-9,2	342,209
ZINC55211738	-9,2	329,661
ZINC81476538	-9,2	343,281
ZINC35375461	-9,2	407,304
ZINC74340251	-9,2	340,218
ZINC89991060	-9,2	363,291
ZINC12664039	-9,2	449,388
ZINC15670520	-9,2	473,204
ZINC30836347	-9,2	368,309
ZINC05630978	-9,2	387,125
ZINC14115811	-9,2	383,37
ZINC03479920	-9,2	345,227
ZINC55703013	-9,2	341,262
ZINC03033972	-9,2	341,182
ZINC38516564	-9,2	391,346
ZINC72453386	-9,2	382,294
ZINC25045763	-9,2	340,324
ZINC00997480	-9,2	315,247
ZINC09318293	-9,2	338,306
ZINC21537005	-9,2	360,231
ZINC24776971	-9,2	339,266
ZINC01062313	-9,2	420,296
ZINC36408756	-9,2	320,664
ZINC65348099	-9,2	238,182
ZINC35375464	-9,2	407,304
ZINC06661864	-9,2	374,315
ZINC78507185	-9,2	355,268
ZINC87141537	-9,2	331,282
ZINC12466821	-9,2	363,315
ZINC83173730	-9,2	342,247
ZINC00110874	-9,2	323,27
ZINC10463126	-9,2	337,295
ZINC06831242	-9,2	306,216
ZINC38140467	-9,2	287,237
ZINC01200475	-9,2	431,323
ZINC38716304	-9,2	366,313
ZINC33542891	-9,2	314,667
ZINC40133887	-9,2	391,732
ZINC39479169	-9,2	372,259
ZINC20201765	-9,2	372,322
ZINC05684396	-9,2	280,196
ZINC04852221	-9,2	385,692
ZINC22335587	-9,2	222,182
ZINC69600052	-9,2	300,178
ZINC09430701	-9,2	425,381
ZINC06780005	-9,2	367,279
ZINC70932080	-9,2	347,313
ZINC15290843	-9,2	375,149
ZINC64711143	-9,2	454,361
ZINC72356171	-9,2	356,275
ZINC72033466	-9,2	409,765
ZINC04647398	-9,2	473,449
ZINC89792785	-9,2	291,225
ZINC12528078	-9,2	287,237
ZINC21174902	-9,2	392,737
ZINC34839860	-9,2	303,236
ZINC38728638	-9,2	394,282
ZINC38739339	-9,2	359,324
ZINC44006487	-9,2	378,255
ZINC59519443	-9,2	358,356
ZINC69927354	-9,2	339,242
ZINC72356172	-9,2	356,275
ZINC06275411	-9,2	309,284
ZINC42620901	-9,2	316,228
ZINC77914762	-9,2	360,268
ZINC12977998	-9,2	389,306
ZINC90956285	-9,2	345,235
ZINC09318296	-9,2	426,142
ZINC23269150	-9,2	358,272
ZINC94093985	-9,2	375,227
ZINC95517610	-9,2	293,218
ZINC74350308	-9,2	264,222
ZINC02628215	-9,2	315,292
ZINC57498962	-9,2	382,715
ZINC26136830	-9,2	278,206
ZINC08378287	-9,2	389,173
ZINC93367279	-9,2	345,279
ZINC68148385	-9,2	291,225
ZINC72143529	-9,2	304,242
ZINC66683908	-9,2	357,284
ZINC66215945	-9,2	341,285
ZINC72356173	-9,2	356,275
ZINC59506390	-9,2	458,252
ZINC35375476	-9,2	409,3
ZINC59019894	-9,2	378,758
ZINC47400220	-9,2	346,256
ZINC76840465	-9,2	299,217
ZINC15670525	-9,2	473,204
ZINC30546364	-9,2	332,254
ZINC38140468	-9,2	311,259
ZINC91018702	-9,2	347,217
ZINC89641901	-9,2	333,242
ZINC94054990	-9,2	342,27
ZINC95439607	-9,2	322,259
ZINC14219633	-9,2	313,254
ZINC89985324	-9,2	311,636
ZINC33751776	-9,2	358,246
ZINC58330127	-9,2	356,748
ZINC44888971	-9,2	330,265
ZINC32899408	-9,2	411,335
ZINC12587111	-9,2	419,31
ZINC72980789	-9,2	336,292
ZINC02421913	-9,2	454,34
ZINC63791138	-9,2	428,39
ZINC93226609	-9,2	313,222
ZINC73381785	-9,2	332,234
ZINC20363927	-9,2	320,214
ZINC94081159	-9,2	372,277
ZINC32960089	-9,2	345,253
ZINC13596985	-9,2	364,279
ZINC19752938	-9,2	397,334
ZINC09115832	-9,2	443,805
ZINC05252571	-9,2	360,265
ZINC58330128	-9,2	356,748
ZINC03548982	-9,2	312,221
ZINC02850596	-9,2	381,305
ZINC56765654	-9,2	340,277
ZINC71799746	-9,2	324,25
ZINC66223978	-9,2	378,75
ZINC72404093	-9,2	388,295
ZINC78323858	-9,2	315,25
ZINC79014588	-9,2	301,24
ZINC79028159	-9,2	375,342
ZINC09459188	-9,2	453,778
ZINC89954466	-9,2	323,291
ZINC91252488	-9,2	339,187
ZINC91832989	-9,2	360,312
ZINC94054991	-9,2	337,246
ZINC12438613	-9,2	335,302
ZINC06831245	-9,2	364,32
ZINC40390657	-9,2	420,75
ZINC39460408	-9,2	369,295
ZINC77180641	-9,2	319,256
ZINC72033471	-9,2	330,658
ZINC72135211	-9,2	294,209
ZINC71941259	-9,2	395,313
ZINC49984028	-9,2	348,254
ZINC33061098	-9,2	394,326
ZINC76225007	-9,2	342,273
ZINC02983915	-9,2	463,726
ZINC03024541	-9,2	392,326
ZINC89277176	-9,2	330,265
ZINC89826759	-9,2	295,181
ZINC90956287	-9,2	345,235
ZINC06820311	-9,2	356,24
ZINC12712662	-9,2	382,289
ZINC12585634	-9,2	383,295
ZINC25062870	-9,2	362,296
ZINC19792727	-9,2	351,303
ZINC13150020	-9,2	458,325
ZINC33282581	-9,2	435,4
ZINC69995481	-9,2	336,241
ZINC29311286	-9,2	371,356
ZINC56918993	-9,2	389,188
ZINC00713624	-9,2	421,19
ZINC72356177	-9,2	372,729
ZINC26787000	-9,2	370,3
ZINC91582236	-9,2	261,219
ZINC90391613	-9,2	315,288
ZINC08601847	-9,2	411,328
ZINC65350045	-9,2	231,162
ZINC72356178	-9,2	372,729
ZINC72551912	-9,2	329,254
ZINC08181831	-9,2	262,227
ZINC12499601	-9,2	354,372
ZINC10007767	-9,2	363,315
ZINC10865498	-9,2	418,312
ZINC48343082	-9,2	292,233
ZINC39502331	-9,2	307,221
ZINC49471298	-9,2	356,276
ZINC41666654	-9,2	347,269
ZINC48279038	-9,2	399,277
ZINC59488801	-9,2	409,297
ZINC41647916	-9,2	411,739
ZINC06956027	-9,2	390,293
ZINC79494541	-9,2	330,242
ZINC79048387	-9,2	383,302
ZINC09050916	-9,2	363,29
ZINC09168279	-9,2	412,317
ZINC09226371	-9,2	410,39
ZINC24022523	-9,2	422,375
ZINC30831783	-9,2	373,351
ZINC16255910	-9,2	428,166
ZINC20785051	-9,2	334,296
ZINC92765121	-9,2	318,187
ZINC56572022	-9,2	356,704
ZINC39891987	-9,2	416,377
ZINC73529621	-9,2	331,27
ZINC77154163	-9,2	408,203
ZINC07199487	-9,2	343,682
ZINC80260721	-9,2	223,19
ZINC35442848	-9,2	291,225
ZINC79558642	-9,2	307,243
ZINC29154487	-9,2	328,243
ZINC66223982	-9,2	378,75
ZINC77891246	-9,2	358,7
ZINC91218733	-9,2	330,259
ZINC90723362	-9,2	336,285
ZINC04840802	-9,2	389,353
ZINC17010352	-9,2	410,321
ZINC24757533	-9,2	309,24
ZINC40789785	-9,2	314,209
ZINC45329404	-9,2	311,28
ZINC38739347	-9,2	364,323
ZINC43480731	-9,2	352,261
ZINC58604299	-9,2	413,355
ZINC59893560	-9,2	387,334
ZINC90972416	-9,2	281,193
ZINC88607988	-9,2	314,216
ZINC80374752	-9,2	349,262
ZINC91868717	-9,2	371,254
ZINC95453517	-9,2	335,253
ZINC11974192	-9,2	466,775
ZINC14200646	-9,2	430,162
ZINC21089460	-9,2	388,304
ZINC20363933	-9,2	352,265
ZINC20650942	-9,2	411,742
ZINC37425758	-9,2	419,355
ZINC04496790	-9,2	353,72
ZINC21877041	-9,2	448,333
ZINC39006956	-9,2	485,719
ZINC03479152	-9,2	332,276
ZINC58368566	-9,2	356,298
ZINC09101387	-9,2	432,302
ZINC64658606	-9,2	319,232
ZINC33301126	-9,2	457,362
ZINC05155936	-9,2	376,308
ZINC39795506	-9,2	391,323
ZINC03302374	-9,2	374,293
ZINC72168683	-9,2	362,283
ZINC74148998	-9,2	348,22
ZINC77871614	-9,2	326,246
ZINC09648038	-9,2	459,422
ZINC19574503	-9,2	386,302
ZINC83058843	-9,2	322,236
ZINC16523737	-9,2	387,337
ZINC90224602	-9,2	335,302
ZINC67909147	-9,2	373,285
ZINC94019605	-9,2	366,267
ZINC11868786	-9,2	279,211
ZINC78323862	-9,2	315,25
ZINC08458106	-9,2	355,223
ZINC12575283	-9,2	311,686
ZINC09612137	-9,2	465,38
ZINC03257132	-9,2	449,808
ZINC40267470	-9,2	376,334
ZINC81847534	-9,2	336,238
ZINC84804504	-9,2	331,268
ZINC16849158	-9,2	406,832
ZINC19290481	-9,2	400,289
ZINC63856398	-9,2	326,231
ZINC04997713	-9,2	323,221
ZINC39430469	-9,2	365,307
ZINC16969147	-9,2	330,262
ZINC23224402	-9,2	394,37
ZINC67345467	-9,2	359,28
ZINC07020531	-9,2	374,29
ZINC50813231	-9,2	443,377
ZINC17320729	-9,2	434,343
ZINC28329794	-9,2	346,347
ZINC78445828	-9,2	319,235
ZINC81476552	-9,2	320,267
ZINC86203460	-9,2	345,253
ZINC89306075	-9,2	350,314
ZINC08781424	-9,2	400,263
ZINC63845729	-9,2	331,243
ZINC08955295	-9,2	409,768
ZINC09416466	-9,2	414,166
ZINC91868718	-9,2	359,243
ZINC01050706	-9,2	426,195
ZINC13122698	-9,2	343,26
ZINC12851439	-9,2	389,355
ZINC02809164	-9,2	475,181
ZINC23478237	-9,2	361,706
ZINC26675865	-9,2	379,245
ZINC36617036	-9,2	337,276
ZINC39205309	-9,2	457,29
ZINC09430709	-9,2	454,403
ZINC05226527	-9,2	295,21
ZINC69775720	-9,2	305,229
ZINC60390647	-9,2	415,345
ZINC84592660	-9,2	317,307
ZINC81969284	-9,2	318,248
ZINC89371320	-9,2	339,646
ZINC89583785	-9,2	305,2
ZINC00829422	-9,2	347,246
ZINC92104389	-9,2	336,241
ZINC09101390	-9,2	444,363
ZINC91591957	-9,2	346,302
ZINC18235838	-9,2	428,347
